Contributing Repository,Phase Digitized,Collection Title,Creator,date created (W3CDTF),"date created (human readable, for approximate dates)",Extent,Identifier/Collection Number,Finding Aid Link,Subjects,Abstract,Additional Description,Research Interest,TROUBLESHOOTING
Friends Historical Library of Swarthmore College,NEH,"Association of Friends for the Free Instruction of Adult Colored Persons Records, SFHL-RG4-009",Association of Friends for the Free Instruction of Adult Colored Persons,1789-1905,,1.5 linear feet (3 boxes),SFHL-RG4-009,http://archives.tricolib.brynmawr.edu/resources/4009asfr,Charities|African Americans|African Americans--Services for|Social service|African Americans--Education--Pennsylvania--Philadelphia,"The Association of Friends for the Free Instruction of Adult Colored Persons was a Quaker organization organized in 1789 in Philadelphia to operate a charity school for black adults. The Association provided free adult education to African-Americans until 1904 when it was dissolved and its assets were transferred to the Institute for Colored Youth. This collection contains minutes, financial records, and some correspondence of the Association of Friends for the Free Instruction of Adult Colored Persons and its predecessors, the Society of the Free Instruction of the Black People, the Society for the Free Instruction of African Females, and the Association of Friends for the Free Instruction of Colored Women.",,,
Friends Historical Library of Swarthmore College,NEH/Pilot,"Emily Howland Family Papers, SFHL-RG5-066","Howland, Emily, 1827-1929",1763-1929,,7 linear feet,RG 5/066,http://archives.tricolib.brynmawr.edu/resources/5066howl,,"This collection includes the papers of Emily Howland (1827-1929), a Quaker educator and humanitarian who is particularly remembered for her work with freed slaves in the South. The collection contains correspondence, journals, other manuscripts, memorabilia, and images of Emily Howland and members of the Howland and Tallcot families. Topics covered include education, philanthropy, abolition, and women's rights.","Emily Howland's life included some similarities to Martha Schofield's, but their writing differed. Howland's letters and diaries are mostly newsy, focused on daily goings-on and activities. Only rarely does she discuss politics or her work or reflect on her feelings. Her reflective moments tend to be about religion, philosophy, or the natural world. The collection does not include diaries for the years in which she worked in a contraband camp and started her schools. The collection does include some interesting essays, including one on citizenship rights for women and African Americans. Her collection of suffrage badges and memorabilia is also noteworthy.","Emily Howland led a very interesting life, but she did not often comment on its most notable parts. Researchers hoping to find detailed information about her work with contraband, in schools for freedpeople, or for suffrage may find the day-to-day nature of this collection somewhat frustrating.",
Friends Historical Library of Swarthmore College,NEH,"Emily Howland family photographs, SFHL-PA-115 --http://archives.tricolib.brynmawr.edu/resources/sfhl-pa-115","Howland, Emily, 1827-1929",,,,SFHL-PA-115,https://archives.tricolib.brynmawr.edu/resources/sfhl-pa-115,,,,,"showing link but it and displayed colleciton name include url, and link doesn't return any results"
Friends Historical Library of Swarthmore College,CLIR/Pilot,"Martha Schofield Papers, SFHL-RG5-134","Schofield, Martha, 1839-1916",1853-1944,,3.75 linear feet,RG 5/134,http://archives.tricolib.brynmawr.edu/resources/5134scho,,"This collection contains biographical information, personal correspondence (1856-1916), and writings (primarily diaries, 1858-1903) by Martha Schofield, a Pennsylvania teacher who taught free blacks in South Carolina and founded the Schofield Normal and Industrial School in Aiken, S.C. Also included are financial and legal papers and School bulletins, annual reports, and some other papers. Among the correspondents are Martha Schofield's extended family and Susan B. Anthony.","This collection provides a fascinating look into Schofield's personal life and activism. Her letters and diaries convey a harrowing picture of how the Civil War affected the daily lives of Northerners, as well as the ways in which Schofield contributed to the war effort, including sending food, sewing, and money; working in a hospital; and aiding contraband. Yet, as a Quaker, it was difficult to reconcile her antislavery sentiments with her pacifist beliefs, and her letters describe this struggle as well. In 1865, she was appointed a teacher with the Pennsylvania Relief Association, and from this point on sources document her move South, teaching, and eventually the establishment of her own school. Sources also chart her growing involvement in the suffrage movement, including her views on why women should have the right to vote and her friendship with Susan B. Anthony. The collection does include a few gaps-- outgoing letters are less common after 1865, and diaries from 1863-64 and 1872-91 are not included--but each form is so compelling and revealing on its own. Schofield was remarkably candid and reflective, not only about politics but also about her personal life, including her friendship with Sadie Brower--a classic nineteenth-century romantic friendship that included referring to Sadie as her wife and deep depression when Sadie got married--and her attempts to map out unconventional relationships with men. Beyond letters and diaries, Schofield penned many articles on such issues as women's rights and racial equality.","Beyond charting Schofield's involvement in abolitionism, the war effort, educational initiatives, and suffrage, the collection documents the ways in which nineteenth-century women attempted to create satisfying lives for themselves outside of marriage and motherhood. Of particular interest is the fact that Schofield was so young (early twenties) when she produced much of this writing, making her relatable to students. Despite the presence of some cross-writing, her handwriting is highly readable.",
Friends Historical Library of Swarthmore College,CLIR,"Abby Hopper Gibbons Papers, SFHL-RG5-174","Gibbons, Abby Hopper, 1801-1893",1824-1992,1824-1992 (bulk 1850-1892),2.5 Linear Feet (5 boxes),SFHL-RG5-174,http://archives.tricolib.brynmawr.edu/resources/5174ahgi,"Quakers--Social life and customs|American Civil War, 1861-1865|United States--History--Civil War, 1861-1865","Abby Hopper Gibbons (1801-1893), daughter of Isaac T. Hopper (1771-1852), was an important figure in many of the reform movements of the mid- and late nineteenth centuries, especially abolition and her work with the Women's Prison Association and Isaac T. Hopper Home. In 1833, she married fellow Hicksite Quaker, James Sloan Gibbons (1810-1892), a member of the New York Yearly Meeting of Friends. The collection contains correspondence sent and received by Abby Hopper Gibbons, including family letters and letters related to her work to assist Union Soldiers during the Civil War.","Many of the letters in the collection reflect the concerns of family life. Abigail Hopper Gibbons remained active in reform concerns into old age, and in her later years dressed dolls in Quaker dress to present to quarantined and hospitalized children. Some of the correspondence in this collection were published in abbreviated form in 1897 for a biography, The Life of Abby Hopper Gibbons, Told Chiefly through her Correspondence, edited by her daughter, Sarah Hopper Emerson. The bulk of the correspondence concerns the Civil War years, and Abigail Hopper Gibbons's work to assist Union officers. There are many letters from Union soldiers. Included are letters from prominent figures including Theodore Roosevelt, Lydia Maria Child, and Joseph H. Choate.",The collection offers a valuable resource to scholars of nineteenth century reform movements.,
Friends Historical Library of Swarthmore College,CLIR,"Mariana Wright Chapman Family Papers, SFHL-RG5-260","Chapman, Mariana W. (Mariana Wright), 1843-1907",1808-1983,1808-1983 (bulk: 1842-1911),3.25 Linear Feet (7 boxes),SFHL-RG5-260,http://archives.tricolib.brynmawr.edu/resources/5260mwch,National American Woman Suffrage Association|New York State Woman Suffrage Association|Woman Suffrage Association of Brooklyn|Women--Suffrage,"Mariana Wright Chapman was a prominent New York Quaker suffragist. The collection includes correspondence received while she was active in suffrage activities in New York State, 1893-1900. Mariana's interest in suffrage had been aroused in the mid 1880s when she attended a women's suffrage meeting and was inspired by the speakers. She was eventually named President of the Women's Suffrage Association of Brooklyn and then resigned to take the office of president of the New York State Suffrage Association. She was also a member of the Brooklyn Women's Club from 1888 until her death, was a charter member of the New York League for Political Education, and was instrumental in founding the Friends Equal Rights Association. In addition to suffrage, she was also actively involved in other social and religious concerns, particularly prison reform, peace, and education. ",,,
Friends Historical Library of Swarthmore College,CLIR/Pilot,"Lewis-Fussell Family Papers, SFHL-RG5-087",Lewis family|Fussell family,1698-1978,,6 linear feet,RG 5/087,http://archives.tricolib.brynmawr.edu/resources/5087lefu,,"The collection contains correspondence, journals, other writings, account books, albums, photographs, and miscellaneous notes of members of the Lewis and Fussell families of Chester and Delaware Counties in Pennsylvania. Includes the papers and drawings of Graceanna Lewis, prominent Quaker natural scientist and social reformer. Educated at the Kimberton Boarding School, she also taught at a number of female seminaries, including a boarding school managed by her uncle, Bartholomew Fussell, and the Foster School for Girls at Clifton Springs, N.Y. Of particular interest is her correspondence with a cousin concerning phrenology and a school for black children in which he was teaching, and her manuscript memoirs of the Underground Railroad.","These papers offer windows into abolitionism, Quakers and militarism, and female friendships and professionalism. Graceanna Lewis belonged to a family of reformers and was in a circle that involved many others, including Cyrus and Charles Burleigh and William Still. Her correspondence addresses issues including the Abby Kelley controversy over female participation in antislavery work and the Underground Railroad. The latter is also addressed in an unpublished memoir Lewis wrote in 1912. She discussed her parents' opposition to slavery, the fugitives who hid on their property, and the contributions of other local abolitionists. Additionally, these papers shed light on the difficulties the Civil War posed to Quakers who were both antislavery and antiwar. Lewis's writings also show how her work was sometimes in concert with, and sometimes at odds with, her politics. As a teacher, she did not hesitate to talk to her students about slavery, even if their parents would object. However, she was also a scientist, which led her to embrace phrenology and scientific racism. A final thread that runs through this collection is that of female friendships, expressed in Lewis's lifelong friendship with Hannah Mifflin.","The papers reflect many interesting issues, but may be best suited to supplement a study of the abolitionist community than they are as windows into Lewis's own life and activism. Additionally, while Lewis certainly exercised agency through her pursuit of an unconventional career, she did not really focus on the gendered aspects of slavery or on women's rights per se.",
Friends Historical Library of Swarthmore College,CLIR,"Annual Association for the Relief of Sick Children in the Summer Records, SFHL-RG4-007","Annual Association for the Relief of Sick Children in the Summer (Philadelphia, Pa.)",1818-1862,,0.4 Linear Feet (1 box),SFHL-RG4-007,http://archives.tricolib.brynmawr.edu/resources/4007anas,,"The Annual Association for the Relief of Sick Children in the Summer was a Quaker women's organization founded in 1818 in Philadelphia, Pennsylvania, to provide relief for impoverished sick children and their mothers from the crowding and oppressive heat during the summer months. The Association was proposed by Casper Wister, M.D., (1801-1867) and was originally housed in a wing of the City Hospital. The collection contains minutes, 1818-1854 (gap 1819-1821) and other records, including acting committee minutes and workbook, 1843-1851.",,,
Friends Historical Library of Swarthmore College,CLIR/Pilot,"Northern Association of the City and County of Philadelphia for the Relief and Employment of Poor Women records, SFHL-RG4-053",Northern Association of the City and County of Philadelphia for the Relief and Employment of Poor Women,1841-1929,,1 linear foot,RG 4/053,http://archives.tricolib.brynmawr.edu/resources/4053noas,,"This Hicksite Quaker women's charity was organized in 1844 and incorporated in 1856. Its mission was to provide employment in sewing for poor women. The collection contains legal documents, financial records, membership list (1849-1872), reports, correspondence, and related papers.","The most interesting documents in this collection are the single extant annual report (1849) and the Seybert Institution report (1918). The former documents the association's commitment to helping the ""worthy"" poor and its role as a precursor to modern social welfare organizations. The latter gives brief life histories of the women receiving aid through the association, albeit through the eyes of those conducting the report. Other documents are largely about donations, rules and procedures, and income and expenditures.","This organization is an interesting footnote in the history of women's benevolent and social welfare activism and in the life of cofounder Lucretia Mott, but the collection does not provide enough material for an in-depth investigation. It is interesting to note that they offered aid to both white and African-American women.",
Friends Historical Library of Swarthmore College,CLIR,"Penn Sewing School records, SFHL-RG4-056","Penn Sewing School (Philadelphia, Pa.)",1868-1906,,0.5 linear feet,SFHL-RG4-056,http://archives.tricolib.brynmawr.edu/resources/4056pese,,"Penn Sewing School was founded in 1868 as the Friends Sewing School. The name was changed in 1871 and classes suspended in 1899. Penn Sewing School was organized with the help of Dillwyn Parrish and William C. Biddle by two young Quaker women, Annie Caley and Augusta Taber. Friends of Philadelphia Monthly Meeting (Hicksite) held at Fifteenth and Race Streets granted the use of a room, and the children were gathered from the neighborhood. The first four teachers were Augusta Taber, Mary Biddle (later Wood), Sallie Cooper, and Annie Caley (later Dorland). The first class was held February 29, 1868. Seventy-nine girls attend the School in the first year, including both black and white children. In the season 1874-1875, 260 children were enrolled. In 1871 the name ""Penn Sewing School"" was adopted, and the institution was incorporated. In 1873 a meeting for mothers was started. This grew and was incorporated in 1877 as the ""Friends Instruction Association."" Penn Sewing School continued until 1898 and Friends Instruction Association until 1881. The collection contains minute books (1876-1906), charter, history, printed report, and other papers.",,,
Friends Historical Library of Swarthmore College,CLIR,"Friends Instructional Association Records, SFHL-RG4-028",Friends Instruction Association,1843-1894,,0.42 linear feet,SFHL-RG4-028,http://archives.tricolib.brynmawr.edu/resources/4028frin,,"Contains the records of the Friends Instruction Association including minutes and financial records, receipts from stores, and published bylaws. Friends Instruction Association was organized in 1873 by Philadelphia Quaker women as A Mothers Meeting. Originally part of the Penn Sewing School, the group incorporated in 1876 as Friends Instruction Association. Philadelphia Monthly Meeting provided a meeting space in the Race Street meeting house. Its purpose was to provide poor women regardless of race, religion or nationality with the life skills to improve their condition and to furnish them with clothing. The group was disbanded in December 1891 because of declining numbers and because its mission was being fulfilled by other charitable organizations.",,,
Friends Historical Library of Swarthmore College,CLIR,"Female Association of Philadelphia for the Relief of the Sick and Infirm Poor with Clothing Records, SFHL-RG4-018",Female Association of Philadelphia for the Relief of the Sick and Infirm Poor with Clothing,1828-1978,,4 linear feet,SFHL-RG4-018,http://archives.tricolib.brynmawr.edu/resources/4018feas,,"The Female Association of Philadelphia for the Relief of the Sick and Infirm Poor with Clothing was a Quaker charity founded in 1828 to distribute clothing and provide other assistance to the sick and poor of Philadelphia. It went out of existence in 1975. The collection contains correspondence, minutes, reports, membership lists, memorabilia, financial and legal documents.",,,
Friends Historical Library of Swarthmore College,CLIR,"New York Female Association records, SFHL-RG4-095",New York Female Association,1798-1988,,1 linear foot,SFHL-RG4-095,http://archives.tricolib.brynmawr.edu/resources/4095nyfe,,"Established to give relief to sick poor non-Friends, the New York Female Association first provided aid to sufferers of Yellow Fever. In 1800, following a proposal to open free schools for poor children who lacked other means of obtaining an education, the NYFA opened New York's first public school for female students; Theresa Garvan was employed as the teacher. In 1845, it turned its school interests entirely over to the Free School Society (established in 1805 by Quaker men) and has been a small gift-giving committee since then. In 1915, the New York Female Association commissioned the Lindley Murray Fund, a charity organization formed to provide aid to black and native Americans, to manage its funds. It continues as of 1988 as a gift- giving committee consisting of six Quaker members. This collection consists primarily of minutes and financial records. ","In its early years, the Committee met often, concerning itself with the affairs of its public schools. Common entries consist of lists of the numbers of attenders at a particular school and a judgement of the teacher. Also included in the collection are annual reports from 1821 and 1824. In 1889, a proposal was approved to limit meetings to once yearly. Most reports from the twentieth century list simply the names of members and their chosen charities. A useful historical synopsis of the association to 1981 is included in the collection.",,
Friends Historical Library of Swarthmore College,CLIR,"Association for the Care of Colored Orphans Records, SFHL-RG4-008",Association for the Care of Colored Orphans,1822-1979,,9 linear feet,SFHL-RG4-008,http://archives.tricolib.brynmawr.edu/resources/4008frsh,,"The Association for the Care of Colored Orphans, also known as ""The Shelter,"" was founded in Philadelphia by Quaker women in 1822 to care for black orphans, both boys and girls, within a nurturing, home-like environment. In 1915, it relocated to Cheyney, Pa, adjoining the property of Cheyney Training School for Teachers (now Cheyney University) and became a home for girls, known variously as the Shelter for Colored Orphans and the Shelter for Colored Children. In 1965, its name was changed to ""Friends Shelter for Girls,"" and its mission evolved to serve as a home for teenaged girls, offering training and psychological support. It continued operation until 1981 when it ceased to function as a group home. It was succeeded by the Friends Association for the Care and Protection of Children which functioned as an emergency shelter.","The collection includes: Charter, minutes of the Board, financial and legal records, reports, register of children, and some correspondence.",,
Friends Historical Library of Swarthmore College,CLIR,"Branson-Jackson Family Papers, SFHL-RG5-016","Theiss, Anna J. (Anna Jackson), 1881-1960",1794-1962,,4 linear feet,SFHL-RG5-016,http://archives.tricolib.brynmawr.edu/resources/5016bran,,"Anna Margaret Jackson was deeply involved in reform activities in New York City. She served as Chairman of the Women's Prison Reform Committee and was involved with the Woman's Municipal League of the City of New York. She was on the Boards of the Colored Orphan Asylum in New York City and of the Schofield Normal and Industrial School from before 1902 until her death in 1920. Both she and her husband served as Delegates to the Parliament of Religions held in Chicago in 1893 and to the World's Peace Conference held in Cleveland. She was a Charter member of the Political Study Club of New York. She became involved in the Young Friends Aid Association after her sister's death, was active in the Friends Temperance Union, and was on the Peace Committee of New York Yearly Meeting. She attended the First Day School General Conference in Yarmouth, Ontario, in 1888, and from that time until her death continued to attend and work toward development and improvement of what became the Friends General Conferences. The collection contains correspondence, the bulk of which involves prison reform for women and includes letters from other prominent female reformers as well as prison and municipal officials.",,"There are significant materials relating to prison reform, women's suffrage, peace, and equal rights for African-Americans in New York City in the late 19th century.",
Friends Historical Library of Swarthmore College,CLIR/Pilot,"Mott Manuscripts, SFHL-MSS-035","Mott, Lucretia, 1793-1880",1831-1959,,2.5 linear feet,MSS 035,http://archives.tricolib.brynmawr.edu/resources/mott,"Abolitionists | Women abolitionists | Quaker abolitionists | Quaker women | Antislavery movements | Philadelphia Female Anti-slavery Society | Society of Friends--Pennsylvania | Women social reformers | United States--History--Civil War, 1861-1865 | Women's rights | American Civil War, 1861-1865","Lucretia Mott was a prominent Philadelphia Quaker minister and a leader in reform movements, especially antislavery, education, peace, and women's rights. The bulk of the collection consists of material which was assembled at the time of the publication of Life and Letters by Anna Davis Hallowell in 1884. It includes original correspondence of Lucretia Mott and her husband, James M. Mott, with family and other reformers of their day. The collection also contains sermons, essays, and antislavery documents, and the diary of Lucretia Mott's trip to England to attend the World's Antislavery Convention of 1840.","The vast majority of this collection is made up of letters to and from Lucretia Mott, as well as third-party correspondence. As much newsy as political, Mott's letters to family and friends discuss daily goings-on, health, travel, etc., in addition to her reform work. A significant portion of her letters, especially outgoing, are copies of documents held in other repositories. The portion of the most concentrated interest is her diary from the 1840 World's Antislavery Convention, which speaks in detail about women's treatment both at the convention and in the movement more generally.","Lucretia Mott has long been recognized as the center of Philadelphia's abolitionist and reform community, and thus this collection is crucial for understanding not only her own work but also activism in the region and nation. In particular, her papers document the role of women in the abolitionist movement and the relationship between abolitionism and the 19th-century women's rights movement.",
Friends Historical Library of Swarthmore College,Pilot,Biddle Family Papers,Biddle family,1793-1951,,4 linear feet,RG 5/177,http://archives.tricolib.brynmawr.edu/resources/5177bifa,"Quakers--Charities | War relief | Women and peace | Addams, Jane, 1860-1935 | Balch, Emily Greene, 1867-1961 | Lewis, Lucy Biddle, 1861-1941 | Quaker women | Quakers--Social life and customs | Society of Friends--Pennsylvania | American Friends Service Committee | Women--Suffrage | Women's International League for Peace and Freedom | Swarthmore College","The collection contains correspondence, journal, letterbooks, and account books, together with other manuscript material reflecting the social and cultural life and religious activities of a prominent Quaker family of Pennsylvania and Delaware. Papers of Lucy Biddle Lewis (1861-1941) are important for association with the women's suffrage movement and for early activities of the American Friends Service Committee.","In letters to her family and a few friends, suffragist and peace activist Lucy Biddle Lewis described her trips to the Hague in 1915 and Zurich in 1919 for peace conferences. Her papers do not make up a tremendous amount of this collection, but the letters are quite detailed, descriptive, and interesting. They discuss Lewis's friendship with and fondness for Jane Addams, as well as her interactions with other prominent women, including Emily Greene Balch, Jeannette Rankin, and Florence Kelley. She also discusses topics including Wilson and the peace process, the state of postwar Europe, post-war relief efforts, Russian politics, and working with Hoover.","These letters serve as a candid supplement to the more official Woman's Peace Party papers, shedding light on some of the activists involved and the real, on-the-ground difficulties they faced in working for peace.",
Friends Historical Library of Swarthmore College,Pilot,Friends' Indian Aid Association of Philadelphia Records,Friends' Indian Aid Association of Philadelphia,1869-1875,,0.25 linear feet,RG 4/031,http://archives.tricolib.brynmawr.edu/resources/4031inai,Church work with Indians--Society of Friends | Church work with the poor--Society of Friends | Indians of North America--Government relations | Quakers--Charities | Society of Friends--Nebraska | Society of Friends--Pennsylvania,"The Friends' Indian Aid Association was organized in 1869 by members of the Philadelphia Yearly Meeting (Hicksite Quaker). The stated objective was to solicit voluntary donations of money and goods to distribute to the Indian tribes assigned to the care of the Yearly Meeting. Collection includes printed and hand-written documents, correspondence, and financial records.",,"This is a small collection with scattered documents. Correspondence is mostly about donations and the distribution of goods, although it does include a few thank-you notes from aid recipients; other documentation is official or procedural in nature. Although women were involved in this organization, including in its leadership, there is not much documentation to connect their work explicitly to women's rights. The collection does document one interesting connection. The association sent Dr. Phebe Oliver, previously of the Woman's Hospital, to work on the Otoe reservation (letter from pres. Mary Jeanes, 1871).",
Swarthmore College Peace Collections,CLIR,"Belva Ann Lockwood Papers, SCPC-DG-098","Lockwood, Belva Ann, 1830-1917","1878-1917, 1984, 1986, 1992",,0.5 linear feet,DG 098,http://archives.tricolib.brynmawr.edu/resources/scpc-dg-098,Women and peace | Suffragists | Women lawyers | United States. Supreme Court | Strikes and lockouts--Textile industry | Cherokee Indians--Government relations,"Belva Ann McNall Lockwood (1830-1917), was the first woman attorney to practice before the Supreme Court. She personally lobbied members of Congress to pass a special act admitting women to the bar of the Court, and first practiced before the Court in 1879. Among other cases, Lockwood successfully represented the Eastern Cherokee Indians in an five million dollar suit before the Court. She also represented hundreds of family members of Civil War veterans in their pension claims. Lockwood was also an ardent supporter of women's rights. She lectured and toured the country in attempts to gather support for woman suffrage. Lockwood ran for the U.S. presidency in 1884 and 1888, being the first woman to have a complete, national campaign for that office. Both times she was the Presidential candidate for the National Equal Rights Party, capturing over 4,000 votes in six states.  Her other feminist activities included serving as president of the Woman's National Press Association, and being appointed Attorney General of the American Woman's Republic, an organization founded by Marietta Stowe and dedicated to preparing women for the rights and responsibilities of full citizenship. From the 1870s onward Lockwood was active with the radical peace group, the Universal Peace Union, representing the organization at several international peace congresses.  As an executive board member of the Universal Peace Union, Lockwood attended many international peace congresses. She wrote tracts on international arbitration and was one of the nominating members of the Nobel Peace Prize Committee.","The Papers of Belva Ann Lockwood are an assortment of writings both by and about her. The papers include correspondence (1885-1915), pamphlets, manuscripts, and newspaper and journal articles. The bulk of the correspondence is between Lockwood and Alfred H. Love of the Universal Peace Union, and from Lockwood to her nephew, Frank Gardner, and his wife Lella Gardner. A few of Lockwood's writings and law briefs are in the collection. Much of Lockwood's office files and personal papers were destroyed soon after her death. The manuscripts consist primarily of personal accounts by Lockwood of speeches and important law cases. Newspaper clippings and articles document Lockwood's involvement in the woman suffrage and peace movements, as well as her legal and political activities. Many of the later clippings are biographical summaries celebrating her life. There is a small amount of material about the American Woman's Republic. Correspondents in this collection include: Arabella Carter, Amanda Deyo, Lella Crum Gardner, and Alfred H. Love. Later materials include activities surrounding the Belva Lockwood U.S. postage stamp, issued in 1986, and biographical writings about her life and work.",,
Swarthmore College Peace Collections,CLIR,"Hannah J. Bailey Papers, SCPC-DG-005","Bailey, Hannah J. (Hannah Johnston), 1839-1923",1836-1923,,2.5 linear feet,DG 005,http://archives.tricolib.brynmawr.edu/repositories/8/resources/6967,National American Woman Suffrage Association | Woman's Christian Temperance Union | Women and peace | Women social reformers | Quaker women | Suffragists,"Hannah Johnston Bailey was a Quaker pacifist, suffragist, reformer,temperance leader, superintendent of the Department of Peace and Arbitration of the National Woman's Christian Temperance Union from 1887 to 1916, president and business manager of the Woman's Temperance Publication Association, the publishing arm of the WCTU, president of the Maine Woman Suffrage Association (1891-1899), and a member of the National American Woman Suffrage Association. Her many other reform interests included the influence of militarism on children, reform of women's prisons, the abolition of capital punishment, and women's missionary work. Bailey also served as an officer of the Universal Peace Union.","The Hannah J. Bailey collection includes personal papers, correspondence, diaries and journals, published and unpublished articles, biographical information and memorabilia. The collection also contains material on Bailey's work with the national and world Woman's Christian Temperance Union, the National Council of Women, financial and legal papers of the Woman's Temperance Publishing Association, her work for social causes, her travels abroad, and her connection with the Society of Friends (Quakers). Correspondents and other names found in the collection include Cora DiBrazza-Savorgnan (Countess DiBrazza), Alice May Douglas, Anne Sturges Duryea, Anna Gordon, Lucia Ames Mead, and Frances Willard.",,
Swarthmore College Peace Collections,PIlot,Woman's Peace Party Records,"Woman's Peace Party | Hull, Hannah Clothier, 1872-1958 | Addams, Jane, 1860-1935 | Lewis, Lucy Biddle, 1861-1941 | Balch, Emily Greene, 1867-1961",1915-1919,,11.5 linear feet,DG 043,http://archives.tricolib.brynmawr.edu/resources/scpc-dg-043-part_i,Women's International League for Peace and Freedom | Peace movements | Women and peace,"Consists of general organizational files of the national office (in Chicago) such as meeting minutes and correspondence, as well as material from the State Branches.","The Woman's Peace Party existed between 1915 and 1919, becoming the Women's International League for Peace and Freedom (WILPF) US Section. Headquartered in Chicago and with branches in several states, Philadelphia- and Pennsylvania-related materials are scattered throughout this collection. The two Philadelphia women most involved in the organization were Hannah Clothier Hull and Lucy Biddle Lewis, who played important roles in crafting and debating the group's agenda. Both are featured in annual meeting minutes, which often include detailed transcripts. Additionally, state branches were relatively autonomous, and this collection includes a fair number of meeting minutes, programs, pamphlets, and clippings that shed light on the Pennsylvania branch's specific activities. There is also some correspondence between Pennsylvania branch members and national office members, including Jane Addams.","With the centennial of these events underway, the Pennsylvania-specific parts of this collection will be interesting to researchers studying World War I's effects on the Commonwealth. Additionally, they will be useful to historians interested in the relationships between state and national offices, debates within the peace movement, the interrelatedness of peace and suffrage, how activists' strategies changed once the US entered the war, or the biographies of such women as Hull and Lewis.",
Swarthmore College Peace Collections,PIlot,Hannah Clothier Hull Papers,"Hull, Hannah Clothier, 1872-1958",1889-1958,,3 linear feet,DG 016,http://archives.tricolib.brynmawr.edu/resources/scpc-dg-016,"Woman's Peace Party | Women's International League for Peace and Freedom | Women social reformers | Women--Suffrage | Friendship | Balch, Emily Greene, 1867-1961 | Addams, Jane, 1860-1935 | Catt, Carrie Chapman, 1859-1947","The Hannah Clothier Hull Papers contain personal correspondence (1889-1956), professional correspondence, speeches, articles, and manuscript notes. There is also biographical material, family papers, newspaper clippings, and photographs. Among Hull's early personal correspondence is a folder of letters she wrote to her friend Caroline Cooper Biddle. These letters chart the close friendship between the two young women at the turn of the century. A large part of the collection reflects Hull's work in the peace movement, especially the Women's International League for Peace and Freedom. Her work for suffrage and women's rights is also well-represented.","Pre-1920 materials are relatively sparse, although they provide some insight into Hull's Quaker upbringing and involvement in the peace and suffrage movements. A series of fliers reveals the strategies members of the Pennsylvania Woman Suffrage Association used to advance their cause, and a series of letters to, from, and about Jane Addams show how fond the two women were of each other.","Although Hull was involved in activism before 1920, her most important contributions were to Women's International League for Peace and Freedom, and these are the activities best represented by this collection . For the purposes of this project, the most interesting materials are Hull's letters to Caroline Biddle while a young woman. While not about rights per se, they provide a classic example of the close friendships women formed in this era. They also provide rare insights into women's personal lives, which in many collections are entirely absent or largely eclipsed by political activities.",
Swarthmore College Peace Collections,PIlot,Emily Greene Balch Papers,"Balch, Emily Greene, 1867-1961",1842-1961,,27.75 linear feet,DG 006,http://archives.tricolib.brynmawr.edu/resources/scpc-dg-006,"Women's Trade Union League | Women's International League for Peace and Freedom | Addams, Jane, 1860-1935 | Hull, Hannah Clothier, 1872-1958 | Peace movements | Women and peace | Nobel Prize winners | Women Nobel Prize winners","The papers of Emily Greene Balch, the second U.S. woman to win a Nobel Peace Prize (1946), contain her diaries (1876-1955, scattered), journals (c. 1894-1948, scattered) and notebooks, all of which provide autobiographical background. Correspondence to and from Balch spans the years from 1875 until her death in 1961. A gap from 1907 until 1913 may have been caused by a fire at Wellesley in 1914, when many papers were destroyed. A considerable amount of important correspondence (1920-c. 1941) relates to the affairs of Women's International League for Peace and Freedom (WILPF), an international organization which Balch led for many years. Her writings (1884-1956) include articles and speeches-- some published, others in manuscript, draft, or note form--as well as letters to the editor, book reviews, poems, a song, and research notes. There are many writings pertaining to Women's International League for Peace and Freedom (WILPF). Some books written by Balch are not microfilmed but can be found in the Swarthmore College Peace Collection library.","Before she became a peace activist, Emily Greene Balch was a member of Bryn Mawr's first graduating class (1889). Materials from this part of her life include letters to friends and family members, appointment books, lists of contacts, and occasional observations on issues like labor conditions and economic inequality. Later autobiographical writing also attributes her political awakening to her time at Bryn Mawr.","The significance of this collection to the current project largely depends on how parameters are defined. Balch was connected to Philadelphia because she was educated at Bryn Mawr, and materials from her years there do some shed light on how she became the activist that she did. However, other collections can likely make this connection in a stronger way. Materials from later in her life have a higher research value.",
